ID	gene
250325_k562_perturbseq_enhancers_dup_filtered_min3_64	250325_k562_perturbseq_enhancers_dup_filtered_min3_64
250325_k562_perturbseq_enhancers_dup_filtered_min3_65	250325_k562_perturbseq_enhancers_dup_filtered_min3_65
250325_k562_perturbseq_enhancers_dup_filtered_min3_66	250325_k562_perturbseq_enhancers_dup_filtered_min3_66
250325_k562_perturbseq_enhancers_dup_filtered_min3_67	250325_k562_perturbseq_enhancers_dup_filtered_min3_67
250325_k562_perturbseq_enhancers_dup_filtered_min3_68	250325_k562_perturbseq_enhancers_dup_filtered_min3_68
250325_k562_perturbseq_enhancers_dup_filtered_min3_69	250325_k562_perturbseq_enhancers_dup_filtered_min3_69
250325_k562_perturbseq_enhancers_dup_filtered_min3_70	250325_k562_perturbseq_enhancers_dup_filtered_min3_70
250325_k562_perturbseq_enhancers_dup_filtered_min3_71	250325_k562_perturbseq_enhancers_dup_filtered_min3_71
250325_k562_perturbseq_enhancers_dup_filtered_min3_72	250325_k562_perturbseq_enhancers_dup_filtered_min3_72
250325_k562_perturbseq_enhancers_dup_filtered_min3_73	250325_k562_perturbseq_enhancers_dup_filtered_min3_73
250325_k562_perturbseq_enhancers_dup_filtered_min3_74	250325_k562_perturbseq_enhancers_dup_filtered_min3_74
250325_k562_perturbseq_enhancers_dup_filtered_min3_75	250325_k562_perturbseq_enhancers_dup_filtered_min3_75
250325_k562_perturbseq_enhancers_dup_filtered_min3_76	250325_k562_perturbseq_enhancers_dup_filtered_min3_76
250325_k562_perturbseq_enhancers_dup_filtered_min3_77	250325_k562_perturbseq_enhancers_dup_filtered_min3_77
250325_k562_perturbseq_enhancers_dup_filtered_min3_78	250325_k562_perturbseq_enhancers_dup_filtered_min3_78
250325_k562_perturbseq_enhancers_dup_filtered_min3_79	250325_k562_perturbseq_enhancers_dup_filtered_min3_79
250325_k562_perturbseq_enhancers_dup_filtered_min3_80	250325_k562_perturbseq_enhancers_dup_filtered_min3_80
250325_k562_perturbseq_enhancers_dup_filtered_min3_81	250325_k562_perturbseq_enhancers_dup_filtered_min3_81
250325_k562_perturbseq_enhancers_dup_filtered_min3_82	250325_k562_perturbseq_enhancers_dup_filtered_min3_82
250325_k562_perturbseq_enhancers_dup_filtered_min3_83	250325_k562_perturbseq_enhancers_dup_filtered_min3_83
250325_k562_perturbseq_enhancers_dup_filtered_min3_84	250325_k562_perturbseq_enhancers_dup_filtered_min3_84
250325_k562_perturbseq_enhancers_dup_filtered_min3_85	250325_k562_perturbseq_enhancers_dup_filtered_min3_85
250325_k562_perturbseq_enhancers_dup_filtered_min3_86	250325_k562_perturbseq_enhancers_dup_filtered_min3_86
250325_k562_perturbseq_enhancers_dup_filtered_min3_87	250325_k562_perturbseq_enhancers_dup_filtered_min3_87
250325_k562_perturbseq_enhancers_dup_filtered_min3_88	250325_k562_perturbseq_enhancers_dup_filtered_min3_88
250325_k562_perturbseq_enhancers_dup_filtered_min3_89	250325_k562_perturbseq_enhancers_dup_filtered_min3_89
250325_k562_perturbseq_enhancers_dup_filtered_min3_90	250325_k562_perturbseq_enhancers_dup_filtered_min3_90
250325_k562_perturbseq_enhancers_dup_filtered_min3_91	250325_k562_perturbseq_enhancers_dup_filtered_min3_91
250325_k562_perturbseq_enhancers_dup_filtered_min3_92	250325_k562_perturbseq_enhancers_dup_filtered_min3_92
250325_k562_perturbseq_enhancers_dup_filtered_min3_93	250325_k562_perturbseq_enhancers_dup_filtered_min3_93
250325_k562_perturbseq_enhancers_dup_filtered_min3_94	250325_k562_perturbseq_enhancers_dup_filtered_min3_94
250325_k562_perturbseq_enhancers_dup_filtered_min3_95	250325_k562_perturbseq_enhancers_dup_filtered_min3_95
250325_k562_perturbseq_enhancers_dup_filtered_min3_96	250325_k562_perturbseq_enhancers_dup_filtered_min3_96
250325_k562_perturbseq_enhancers_dup_filtered_min3_97	250325_k562_perturbseq_enhancers_dup_filtered_min3_97
250325_k562_perturbseq_enhancers_dup_filtered_min3_98	250325_k562_perturbseq_enhancers_dup_filtered_min3_98
250325_k562_perturbseq_enhancers_dup_filtered_min3_99	250325_k562_perturbseq_enhancers_dup_filtered_min3_99
250325_k562_perturbseq_enhancers_dup_filtered_min3_100	250325_k562_perturbseq_enhancers_dup_filtered_min3_100
250325_k562_perturbseq_enhancers_dup_filtered_min3_101	250325_k562_perturbseq_enhancers_dup_filtered_min3_101
250325_k562_perturbseq_enhancers_dup_filtered_min3_102	250325_k562_perturbseq_enhancers_dup_filtered_min3_102
250325_k562_perturbseq_enhancers_dup_filtered_min3_103	250325_k562_perturbseq_enhancers_dup_filtered_min3_103
250325_k562_perturbseq_enhancers_dup_filtered_min3_104	250325_k562_perturbseq_enhancers_dup_filtered_min3_104
250325_k562_perturbseq_enhancers_dup_filtered_min3_105	250325_k562_perturbseq_enhancers_dup_filtered_min3_105
250325_k562_perturbseq_enhancers_dup_filtered_min3_106	250325_k562_perturbseq_enhancers_dup_filtered_min3_106
250325_k562_perturbseq_enhancers_dup_filtered_min3_107	250325_k562_perturbseq_enhancers_dup_filtered_min3_107
250325_k562_perturbseq_enhancers_dup_filtered_min3_108	250325_k562_perturbseq_enhancers_dup_filtered_min3_108
250325_k562_perturbseq_enhancers_dup_filtered_min3_109	250325_k562_perturbseq_enhancers_dup_filtered_min3_109
250325_k562_perturbseq_enhancers_dup_filtered_min3_110	250325_k562_perturbseq_enhancers_dup_filtered_min3_110
250325_k562_perturbseq_enhancers_dup_filtered_min3_111	250325_k562_perturbseq_enhancers_dup_filtered_min3_111
250325_k562_perturbseq_enhancers_dup_filtered_min3_112	250325_k562_perturbseq_enhancers_dup_filtered_min3_112
250325_k562_perturbseq_enhancers_dup_filtered_min3_113	250325_k562_perturbseq_enhancers_dup_filtered_min3_113
250325_k562_perturbseq_enhancers_dup_filtered_min3_114	250325_k562_perturbseq_enhancers_dup_filtered_min3_114
250325_k562_perturbseq_enhancers_dup_filtered_min3_115	250325_k562_perturbseq_enhancers_dup_filtered_min3_115
250325_k562_perturbseq_enhancers_dup_filtered_min3_116	250325_k562_perturbseq_enhancers_dup_filtered_min3_116
250325_k562_perturbseq_enhancers_dup_filtered_min3_117	250325_k562_perturbseq_enhancers_dup_filtered_min3_117
250325_k562_perturbseq_enhancers_dup_filtered_min3_118	250325_k562_perturbseq_enhancers_dup_filtered_min3_118
250325_k562_perturbseq_enhancers_dup_filtered_min3_119	250325_k562_perturbseq_enhancers_dup_filtered_min3_119
250325_k562_perturbseq_enhancers_dup_filtered_min3_120	250325_k562_perturbseq_enhancers_dup_filtered_min3_120
250325_k562_perturbseq_enhancers_dup_filtered_min3_121	250325_k562_perturbseq_enhancers_dup_filtered_min3_121
250325_k562_perturbseq_enhancers_dup_filtered_min3_122	250325_k562_perturbseq_enhancers_dup_filtered_min3_122
250325_k562_perturbseq_enhancers_dup_filtered_min3_123	250325_k562_perturbseq_enhancers_dup_filtered_min3_123
250325_k562_perturbseq_enhancers_dup_filtered_min3_124	250325_k562_perturbseq_enhancers_dup_filtered_min3_124
250325_k562_perturbseq_enhancers_dup_filtered_min3_125	250325_k562_perturbseq_enhancers_dup_filtered_min3_125
250325_k562_perturbseq_enhancers_dup_filtered_min3_126	250325_k562_perturbseq_enhancers_dup_filtered_min3_126
250325_k562_perturbseq_enhancers_dup_filtered_min3_127	250325_k562_perturbseq_enhancers_dup_filtered_min3_127
250325_k562_perturbseq_enhancers_dup_filtered_min3_128	250325_k562_perturbseq_enhancers_dup_filtered_min3_128
250325_k562_perturbseq_enhancers_dup_filtered_min3_129	250325_k562_perturbseq_enhancers_dup_filtered_min3_129
250325_k562_perturbseq_enhancers_dup_filtered_min3_130	250325_k562_perturbseq_enhancers_dup_filtered_min3_130
250325_k562_perturbseq_enhancers_dup_filtered_min3_131	250325_k562_perturbseq_enhancers_dup_filtered_min3_131
250325_k562_perturbseq_enhancers_dup_filtered_min3_132	250325_k562_perturbseq_enhancers_dup_filtered_min3_132
250325_k562_perturbseq_enhancers_dup_filtered_min3_133	250325_k562_perturbseq_enhancers_dup_filtered_min3_133
250325_k562_perturbseq_enhancers_dup_filtered_min3_134	250325_k562_perturbseq_enhancers_dup_filtered_min3_134
250325_k562_perturbseq_enhancers_dup_filtered_min3_135	250325_k562_perturbseq_enhancers_dup_filtered_min3_135
250325_k562_perturbseq_enhancers_dup_filtered_min3_136	250325_k562_perturbseq_enhancers_dup_filtered_min3_136
250325_k562_perturbseq_enhancers_dup_filtered_min3_137	250325_k562_perturbseq_enhancers_dup_filtered_min3_137
250325_k562_perturbseq_enhancers_dup_filtered_min3_138	250325_k562_perturbseq_enhancers_dup_filtered_min3_138
250325_k562_perturbseq_enhancers_dup_filtered_min3_139	250325_k562_perturbseq_enhancers_dup_filtered_min3_139
250325_k562_perturbseq_enhancers_dup_filtered_min3_140	250325_k562_perturbseq_enhancers_dup_filtered_min3_140
250325_k562_perturbseq_enhancers_dup_filtered_min3_141	250325_k562_perturbseq_enhancers_dup_filtered_min3_141
250325_k562_perturbseq_enhancers_dup_filtered_min3_142	250325_k562_perturbseq_enhancers_dup_filtered_min3_142
250325_k562_perturbseq_enhancers_dup_filtered_min3_143	250325_k562_perturbseq_enhancers_dup_filtered_min3_143
250325_k562_perturbseq_enhancers_dup_filtered_min3_144	250325_k562_perturbseq_enhancers_dup_filtered_min3_144
250325_k562_perturbseq_enhancers_dup_filtered_min3_145	250325_k562_perturbseq_enhancers_dup_filtered_min3_145
250325_k562_perturbseq_enhancers_dup_filtered_min3_146	250325_k562_perturbseq_enhancers_dup_filtered_min3_146
250325_k562_perturbseq_enhancers_dup_filtered_min3_147	250325_k562_perturbseq_enhancers_dup_filtered_min3_147
250325_k562_perturbseq_enhancers_dup_filtered_min3_148	250325_k562_perturbseq_enhancers_dup_filtered_min3_148
250325_k562_perturbseq_enhancers_dup_filtered_min3_149	250325_k562_perturbseq_enhancers_dup_filtered_min3_149
250325_k562_perturbseq_enhancers_dup_filtered_min3_150	250325_k562_perturbseq_enhancers_dup_filtered_min3_150
250325_k562_perturbseq_enhancers_dup_filtered_min3_151	250325_k562_perturbseq_enhancers_dup_filtered_min3_151
250325_k562_perturbseq_enhancers_dup_filtered_min3_152	250325_k562_perturbseq_enhancers_dup_filtered_min3_152
250325_k562_perturbseq_enhancers_dup_filtered_min3_153	250325_k562_perturbseq_enhancers_dup_filtered_min3_153
250325_k562_perturbseq_enhancers_dup_filtered_min3_154	250325_k562_perturbseq_enhancers_dup_filtered_min3_154
250325_k562_perturbseq_enhancers_dup_filtered_min3_155	250325_k562_perturbseq_enhancers_dup_filtered_min3_155
250325_k562_perturbseq_enhancers_dup_filtered_min3_156	250325_k562_perturbseq_enhancers_dup_filtered_min3_156
250325_k562_perturbseq_enhancers_dup_filtered_min3_157	250325_k562_perturbseq_enhancers_dup_filtered_min3_157
250325_k562_perturbseq_enhancers_dup_filtered_min3_158	250325_k562_perturbseq_enhancers_dup_filtered_min3_158
250325_k562_perturbseq_enhancers_dup_filtered_min3_159	250325_k562_perturbseq_enhancers_dup_filtered_min3_159
250325_k562_perturbseq_enhancers_dup_filtered_min3_160	250325_k562_perturbseq_enhancers_dup_filtered_min3_160
250325_k562_perturbseq_enhancers_dup_filtered_min3_161	250325_k562_perturbseq_enhancers_dup_filtered_min3_161
250325_k562_perturbseq_enhancers_dup_filtered_min3_162	250325_k562_perturbseq_enhancers_dup_filtered_min3_162
250325_k562_perturbseq_enhancers_dup_filtered_min3_163	250325_k562_perturbseq_enhancers_dup_filtered_min3_163
250325_k562_perturbseq_enhancers_dup_filtered_min3_164	250325_k562_perturbseq_enhancers_dup_filtered_min3_164
250325_k562_perturbseq_enhancers_dup_filtered_min3_165	250325_k562_perturbseq_enhancers_dup_filtered_min3_165
250325_k562_perturbseq_enhancers_dup_filtered_min3_166	250325_k562_perturbseq_enhancers_dup_filtered_min3_166
250325_k562_perturbseq_enhancers_dup_filtered_min3_167	250325_k562_perturbseq_enhancers_dup_filtered_min3_167
250325_k562_perturbseq_enhancers_dup_filtered_min3_168	250325_k562_perturbseq_enhancers_dup_filtered_min3_168
250325_k562_perturbseq_enhancers_dup_filtered_min3_169	250325_k562_perturbseq_enhancers_dup_filtered_min3_169
250325_k562_perturbseq_enhancers_dup_filtered_min3_170	250325_k562_perturbseq_enhancers_dup_filtered_min3_170
250325_k562_perturbseq_enhancers_dup_filtered_min3_171	250325_k562_perturbseq_enhancers_dup_filtered_min3_171
250325_k562_perturbseq_enhancers_dup_filtered_min3_172	250325_k562_perturbseq_enhancers_dup_filtered_min3_172
250325_k562_perturbseq_enhancers_dup_filtered_min3_173	250325_k562_perturbseq_enhancers_dup_filtered_min3_173
250325_k562_perturbseq_enhancers_dup_filtered_min3_174	250325_k562_perturbseq_enhancers_dup_filtered_min3_174
250325_k562_perturbseq_enhancers_dup_filtered_min3_175	250325_k562_perturbseq_enhancers_dup_filtered_min3_175
250325_k562_perturbseq_enhancers_dup_filtered_min3_176	250325_k562_perturbseq_enhancers_dup_filtered_min3_176
250325_k562_perturbseq_enhancers_dup_filtered_min3_177	250325_k562_perturbseq_enhancers_dup_filtered_min3_177
250325_k562_perturbseq_enhancers_dup_filtered_min3_178	250325_k562_perturbseq_enhancers_dup_filtered_min3_178
